metal_type,chemical_additive_type,operator_shift,input_material_source,equipment_type,mass_input_kg,reaction_temp_c,reaction_time_min,energy_kWh,batch_size_kg,raw_material_cost_per_kg,material_purity_pct,moisture_content_pct,ambient_temp_c,reaction_pressure_bar,process_yield_pct,cooling_time_min,maintenance_hours_last_month,downtime_last_month_hr,regulatory_compliance_level,equipment_age_years,operator_experience_years,num_operators,shift_duration_hr,week_of_year,quality_check_passed,num_defects,timestamp,cooling_energy_kWh,process_additive_cost,impurity_penalty,rework_cost,cost_eur,cost_per_kg,energy_per_kg,anomaly_cost_per_kg,anomaly_energy_per_kg,anomaly_isoforest,anomaly_label
Magnesium,Catalyst_B,Night,Local,Type_A,467.4989050636988,74.77657446925014,92.36120759848356,1346.6912931791317,62.86082150201752,8.526886361229007,98.31359965851686,2.9694097501976016,23.814928319078284,4.197012625361179,78.61644368438414,38.294605402384576,37.270599058517625,4.331666321476122,0.5136520860166828,4,8,2,8,4,1,1,2022-01-01 04:30:00,67.33456465895658,30.0,15.76780626284832,0.0,4202.456516172827,66.85335023879618,21.423380429985464,True,True,True,Anomaly
Magnesium,,Day,Local,Type_A,254.93019080244605,96.87304122554632,176.01808394355706,1989.5089072136527,46.27190730759406,8.027312043848315,89.32710178980896,5.413425183487586,35.90677102070968,1.399944973828808,87.86349706662838,19.99106055529182,38.76713735856082,8.067805611769142,0.9744831030043718,13,19,3,8,19,0,3,2022-01-01 21:00:00,99.47544536068268,0.0,54.416879542781736,20.0,2360.811761024545,51.02041170101265,42.996042803862075,True,True,True,Anomaly
Zinc,Catalyst_B,Day,Imported,Type_C,316.05991991862794,61.49681021369771,36.79213411722566,1977.984551959203,47.69829257024179,9.758204354416554,99.2397136867312,8.799884924794178,20.754121873331524,7.067776991986328,92.53121410917556,11.086274409643034,21.640016161627116,15.15486890114902,0.8472500894771573,16,29,2,8,42,0,1,2022-01-02 04:10:00,98.89922759796016,30.0,4.805920625739378,20.0,3398.180028537138,71.24322162125377,41.46866576086281,True,True,True,Anomaly
Magnesium,,Night,Imported,Type_A,265.9653168776267,147.06938700008027,71.00171649656025,1774.5958980240057,42.07260660772231,7.767575704596381,95.00007016335935,3.9940339955433455,24.831175964547697,3.678754050207621,84.20304987730219,53.40082816870879,20.074052632491323,6.101449981635554,0.6875509307320817,1,22,1,8,15,0,0,2022-01-02 23:00:00,88.7297949012003,0.0,26.59615846736055,20.0,2365.14151155431,56.21571141542238,42.179366602360304,True,True,True,Anomaly
Aluminum,,Day,Local,Type_B,479.9729696345774,72.43308771845162,90.69481036118842,1202.4569189221186,40.24066367689346,5.111938191750893,84.87195087730603,0.0170186676870298,19.24364887343192,2.198179030130502,98.23406798406792,19.099997370965408,2.1789243598991392,15.142525947681731,0.9228988399137822,14,28,1,12,26,0,2,2022-01-03 08:40:00,60.12284594610593,0.0,145.22109324394373,20.0,2764.35270718578,68.69550486000298,29.881637355115984,True,True,True,Anomaly
Aluminum,Catalyst_B,Day,Imported,Type_B,353.9995069336622,132.11418781709756,139.13910165228475,1877.1446888666292,53.55933732538048,9.837183334503576,87.5537043040376,4.677696433441535,15.504001649869696,7.098791556528075,99.0067423061344,48.67526152883586,22.736926690619335,12.144739913342775,0.745291579778868,18,4,3,8,35,0,0,2022-01-03 22:30:00,93.85723444333148,30.0,88.11965079042507,20.0,3878.3360121986993,72.41194917400236,35.047944627520536,True,True,True,Anomaly
Aluminum,,Day,Local,Type_A,440.1071001955327,113.23504207215365,46.2629100303475,551.2760896666041,45.995766022394506,7.71253748773684,97.30595153645687,1.0286176906761724,19.42029799785452,2.7642889079056534,96.40764720140577,30.83049381918328,21.606752652595844,12.55656367522629,0.9850035348970124,9,20,2,12,19,1,2,2022-01-05 17:50:00,27.563804483330205,0.0,23.71339714152376,0.0,3517.578655792704,76.47614030561114,11.985365987778044,True,False,True,Anomaly
Magnesium,,Night,Local,Type_C,355.95363989433656,59.98111687596624,175.83020663006894,1649.8778263205788,56.494310813295336,9.819097848299272,96.98347798614492,4.7242075351024,32.60829892464262,9.405336902201906,95.78844240031542,14.963281203901982,19.30416365897464,9.743715157578087,0.8799275181470163,3,15,4,8,36,0,3,2022-01-07 13:20:00,82.49389131602895,0.0,21.47483981306222,20.0,3780.064970280069,66.91054224508693,29.20431814405456,True,True,True,Anomaly
Aluminum,Catalyst_B,Day,Imported,Type_A,334.6556994599563,99.25164009404556,154.39761725854032,1540.024430928603,46.39013235046218,7.940712769846201,84.18405037768488,9.528942040181663,31.22222339313726,2.2867879935140625,89.62320176819316,46.76732641025591,38.57327129517384,13.877523651135297,0.6825857434113465,15,5,2,12,28,1,1,2022-01-07 14:30:00,77.00122154643014,30.0,105.85795366958594,0.0,3000.69716002153,64.6839534182022,33.19724158780633,True,True,True,Anomaly
Zinc,,Night,Local,Type_B,215.8219316750283,81.57997186750607,158.23394093099594,1636.1302969869962,42.433101907027975,7.955932053852432,81.7124533037651,0.9726789638783084,32.372145709212475,3.02814633165856,83.6006449069805,42.42395058489991,11.841695887822844,18.805345417758552,0.54490195772366,12,18,3,12,33,0,2,2022-01-08 12:30:00,81.80651484934981,0.0,78.93707307157398,20.0,2068.152680895867,48.73913496654671,38.55787636199211,True,True,True,Anomaly
