metal_type,chemical_additive_type,operator_shift,input_material_source,equipment_type,mass_input_kg,reaction_temp_c,reaction_time_min,energy_kWh,batch_size_kg,raw_material_cost_per_kg,material_purity_pct,moisture_content_pct,ambient_temp_c,reaction_pressure_bar,process_yield_pct,cooling_time_min,maintenance_hours_last_month,downtime_last_month_hr,regulatory_compliance_level,equipment_age_years,operator_experience_years,num_operators,shift_duration_hr,week_of_year,quality_check_passed,num_defects,timestamp,cooling_energy_kWh,process_additive_cost,impurity_penalty,rework_cost,cost_eur,cost_per_kg,energy_per_kg,anomaly_cost_per_kg,anomaly_energy_per_kg,anomaly_isoforest
Aluminum,,Day,Local,Type_A,474.1194230128386,113.16175176308556,144.24664977294864,1670.4003399104183,40.76430681196472,9.954639774055218,91.1699808460717,1.7957315596463053,33.85674256904082,9.151803751964923,84.90523610277948,49.01317474579083,9.784474819906812,18.82037160293291,0.9279340266813054,15,21,5,8,31,0,1,2022-08-11 01:00:00,83.52001699552092,0.0,83.72967172905602,20.0,5031.19808566444,123.42165190915831,40.97703286395979,True,True,True
Zinc,,Night,Local,Type_A,483.9767120117794,67.84004236850348,178.30886261680538,1419.082347145706,41.15851413431204,9.30673899497928,86.79828900117481,2.58399040750228,30.476565264264448,2.545318728676981,86.90828178627842,54.93906220454661,6.989999505097511,18.406529225281385,0.7143560970926179,16,3,4,12,52,0,5,2022-05-17 09:20:00,70.9541173572853,0.0,127.78641364282318,20.0,4843.526295329542,117.6798141819145,34.47846398232048,True,True,True
Aluminum,,Day,Imported,Type_B,489.32187318937457,65.02146726885296,93.60852773429096,1304.3838969023716,41.60529542549058,9.339366128603634,84.34272217314233,8.220971791856178,38.26769854348959,8.260387869803303,86.24346206157333,13.14944694271233,36.7527515650728,7.233637305459279,0.6287053359064745,8,8,4,12,38,0,2,2022-02-09 22:20:00,65.21919484511858,0.0,153.22897030568902,20.0,4895.750219073624,117.6713245034216,31.35139129677244,True,True,True
Zinc,Catalyst_B,Day,Imported,Type_C,446.5961816843683,138.85147499160223,155.60689431049855,931.5085265697184,40.54538061500603,9.984406131975016,97.8794508891256,1.4728991279311787,33.26216203538182,3.6017217715525818,70.25348541274141,17.286746431661918,32.12338689065351,4.845906018106188,0.7139692864230767,2,29,3,12,35,0,4,2023-03-07 15:30:00,46.57542632848592,30.0,18.940582719813715,20.0,4647.292297685811,114.61952575593352,22.974467434767718,True,True,True
Zinc,Catalyst_B,Night,Imported,Type_B,467.5329884995541,138.96030911413567,117.13935595094264,1325.1401198367964,42.14725440389692,9.44423070834785,83.4881399561345,7.998684414678349,36.08536969771269,8.697607665585043,95.11493179534384,30.58094336016004,14.09173051266544,11.500371857549135,0.8088388195076535,10,20,3,8,45,1,0,2023-01-06 23:10:00,66.25700599183982,30.0,154.3967854398963,0.0,4773.676615241188,113.26186445017436,31.440722262427474,True,True,True
Magnesium,Catalyst_B,Day,Imported,Type_A,494.5504432256149,145.0362493350474,142.38341521691348,1849.8887521141712,40.65286404752396,8.453406836672167,87.47934162641613,7.799553122651327,21.622716364796496,4.97573529446448,93.26255827204449,28.395330890794824,20.2472576459185,5.065756419356506,0.762306947417037,10,27,1,8,12,1,1,2022-11-30 11:30:00,92.49443760570855,30.0,123.8419429626482,0.0,4579.699764744141,112.65380366289536,45.504512300821325,True,True,True
Magnesium,,Night,Local,Type_A,477.3058802500387,108.77732146671664,88.34599314057527,177.80660456042176,41.02502682244813,9.311883888570607,89.89970666173427,1.997196358541896,33.18890221962678,4.252717873127084,97.14799736379308,13.460603758626013,4.5354135601507295,2.4368579559832604,0.9560632712355016,14,26,3,8,31,0,1,2023-06-26 16:30:00,8.890330228021089,0.0,96.41858805209051,20.0,4607.323368752117,112.30518845708774,4.3341008728635195,True,False,True
Magnesium,Catalyst_B,Day,Imported,Type_B,487.5445353870981,101.60287703225666,127.54794789040814,146.3379668224617,40.3423884685985,9.022664135506332,97.76949297785912,6.753771705040329,18.792778436028712,1.8732123950457469,90.31279933128272,49.954446264817925,22.28841140582521,11.19828275679955,0.7682741215811284,16,8,1,12,52,1,2,2022-07-11 08:10:00,7.316898341123085,30.0,21.74943019574672,0.0,4485.296767945562,111.18074408105024,3.6273996750680118,True,False,True
Magnesium,Catalyst_B,Night,Local,Type_A,497.1628979989813,95.42144285719404,135.7536444517344,538.7830036927029,46.213685139267625,9.709150558500252,83.32009572082059,8.089875025745707,27.143206295927147,5.535393555408632,81.37332985364714,48.5376197539054,37.79318566332121,5.986305483583488,0.8486477465129161,17,1,4,12,49,0,0,2023-05-29 16:00:00,26.939150184635142,30.0,165.85259099564894,20.0,5132.613858758772,111.06263963350555,11.658516347896711,True,False,True
Aluminum,Catalyst_B,Night,Local,Type_A,484.77127786860376,85.44441735523787,50.92594823361672,1068.5888519171483,44.83423081888752,9.516004789388498,84.28655951552285,1.1414110335906449,17.96996526022588,8.807787637888818,90.58930354360596,33.08720828639797,24.03695815073602,5.573748471477094,0.8257313782367608,18,13,1,12,15,0,1,2022-11-10 08:00:00,53.42944259585743,30.0,152.34849246744477,20.0,4943.270860438726,110.25662245456104,23.834218462090334,True,True,True
